wavelengthmicrons,Reindex,Imindex
9.6,7.25009,10.4863
9.52941,7.20529,10.4465
9.5,7.18657,10.4298
9.4,7.12271,10.3724
9.31034,7.06522,10.3201
9.3,7.05857,10.314
9.2,6.99422,10.2546
9.10112,6.93041,10.1951
9.1,6.92968,10.1944
9,6.86502,10.1332
8.9011,6.80099,10.0717
8.9,6.80028,10.0711
8.8,6.73549,10.0081
8.70968,6.67696,9.95043
8.7,6.67069,9.94421
8.6,6.6059,9.87953
8.52632,6.55819,9.83136
8.5,6.54115,9.81406
8.4,6.47646,9.74782
8.35052,6.44447,9.71476
8.3,6.41183,9.68084
8.2,6.34729,9.61318
8.18182,6.33556,9.6008
8.1,6.28281,9.54484
8.0198,6.23116,9.48958
8,6.21842,9.47588
7.9,6.15409,9.4063
7.86408,6.131,9.38117
7.8,6.08982,9.33615
7.71429,6.03477,9.27558
7.7,6.0256,9.26544
7.6,5.96141,9.19421
7.57009,5.94222,9.1728
7.5,5.89724,9.12245
7.43119,5.85307,9.07279
7.4,5.83305,9.0502
7.3,5.76883,8.97747
7.2973,5.7671,8.9755
7.2,5.70456,8.90427
7.16814,5.68407,8.88085
7.1,5.64021,8.8306
7.04348,5.60379,8.78875
7,5.57575,8.75647
6.92308,5.52607,8.69914
6.9,5.51115,8.68188
6.80672,5.45076,8.6119
6.8,5.4464,8.60684
6.7,5.38145,8.53134
6.69421,5.37768,8.52696
6.6,5.31627,8.45537
6.58537,5.30672,8.44422
6.5,5.25085,8.37893
6.48,5.23774,8.36359
6.4,5.18515,8.30201
6.37795,5.17062,8.28498
6.3,5.11913,8.22459
6.27907,5.10527,8.20832
6.2,5.05278,8.14666
6.18321,5.0416,8.13352
6.1,4.98604,8.0682
6.09023,4.9795,8.0605
6,4.91891,7.98918
6,4.91891,7.98918
5.91241,4.85975,7.91951
5.9,4.85134,7.9096
5.82734,4.80195,7.8514
5.8,4.7833,7.82942
5.74468,4.74545,7.7848
5.7,4.71476,7.74861
5.66434,4.69019,7.71963
5.6,4.6457,7.66715
5.58621,4.63613,7.65586
5.5102,4.5832,7.59341
5.5,4.57606,7.58499
5.43624,4.53136,7.53223
5.4,4.50584,7.50211
5.36424,4.48057,7.47229
5.3,4.43499,7.41846
5.29412,4.4308,7.41352
5.22581,4.38199,7.35588
5.2,4.36347,7.334
5.15924,4.33412,7.29933
5.1,4.29126,7.24869
5.09434,4.28715,7.24383
5.03106,4.24106,7.18934
5,4.21833,7.16246
4.96933,4.19581,7.13582
4.90909,4.15137,7.08324
4.9,4.14464,7.07527
4.8503,4.10772,7.03157
4.8,4.07015,6.98706
4.7929,4.06483,6.98076
4.73684,4.02268,6.9308
4.7,3.99484,6.89777
4.68208,3.98125,6.88165
4.62857,3.94052,6.83328
4.6,3.91866,6.80731
4.57627,3.90046,6.78567
4.52514,3.86106,6.7388
4.5,3.8416,6.71563
4.47514,3.8223,6.69263
4.42623,3.78416,6.64715
4.4,3.76362,6.62262
4.37838,3.74663,6.60233
4.33155,3.70969,6.55816
4.3,3.68468,6.52822
4.28571,3.67332,6.51461
4.24084,3.63751,6.47167
4.2,3.60475,6.43231
4.19689,3.60225,6.4293
4.15385,3.56752,6.38751
4.11168,3.53332,6.34627
4.1,3.52381,6.3348
4.07035,3.49962,6.30556
4.02985,3.46642,6.26537
4,3.44184,6.23556
3.99015,3.4337,6.22569
3.95122,3.40146,6.18649
3.91304,3.36969,6.14778
3.9,3.3588,6.13448
3.8756,3.33837,6.10952
3.83886,3.3075,6.07172
3.80282,3.27706,6.03435
3.8,3.27467,6.03142
3.76744,3.24705,5.99741
3.73272,3.21746,5.96089
3.7,3.18945,5.92623
3.69863,3.18828,5.92477
3.66516,3.1595,5.88905
3.63229,3.13112,5.85371
3.6,3.10312,5.81875
3.6,3.10312,5.81875
3.56828,3.0755,5.78415
3.53712,3.04826,5.74991
3.50649,3.02138,5.71602
3.5,3.01567,5.7088
3.47639,2.99487,5.68247
3.44681,2.9687,5.64925
3.41772,2.94289,5.61635
3.4,2.92711,5.59619
3.38912,2.91741,5.58378
3.361,2.89227,5.55151
3.33333,2.86746,5.51954
3.30612,2.84298,5.48787
3.3,2.83746,5.48072
3.27935,2.81881,5.4565
3.25301,2.79496,5.4254
3.22709,2.77141,5.39458
3.20158,2.74817,5.36404
3.2,2.74673,5.36214
3.17647,2.72523,5.33376
3.15175,2.70258,5.30374
3.12741,2.68023,5.27398
3.10345,2.65815,5.24447
3.1,2.65497,5.24021
3.07985,2.63636,5.21521
3.0566,2.61485,5.18618
3.03371,2.59361,5.15739
3.01115,2.57264,5.12884
3,2.56225,5.11465
2.98893,2.55193,5.10051
2.96703,2.53148,5.07241
2.94545,2.51129,5.04452
2.92419,2.49136,5.01685
2.90323,2.47167,4.98939
2.9,2.46864,4.98515
2.88256,2.45223,4.96214
2.86219,2.43304,4.9351
2.84211,2.41408,4.90825
2.8223,2.39537,4.88161
2.80277,2.37688,4.85515
2.8,2.37426,4.85139
2.78351,2.35863,4.82889
2.76451,2.3406,4.80282
2.74576,2.3228,4.77693
2.72727,2.30522,4.75122
2.70903,2.28785,4.7257
2.7,2.27925,4.713
2.69103,2.27071,4.70035
2.67327,2.25378,4.67517
2.65574,2.23705,4.65017
2.63844,2.22054,4.62533
2.62136,2.20423,4.60066
2.6045,2.18812,4.57615
2.6,2.18382,4.56958
2.58786,2.17221,4.55181
2.57143,2.1565,4.52762
2.55521,2.14099,4.50359
2.53918,2.12567,4.47972
2.52336,2.11054,4.456
2.50774,2.09559,4.43243
2.5,2.08819,4.4207
2.49231,2.08084,4.40901
2.47706,2.06626,4.38573
2.46201,2.05187,4.3626
2.44713,2.03766,4.33961
2.43243,2.02363,4.31677
2.41791,2.00977,4.29406
2.40356,1.99609,4.27149
2.4,1.99269,4.26587
2.38938,1.98257,4.24906
2.37537,1.96923,4.22676
2.36152,1.95605,4.20459
2.34783,1.94304,4.18256
2.33429,1.9302,4.16066
2.32092,1.91752,4.13888
2.30769,1.90499,4.11723
2.3,1.89772,4.10458
2.29462,1.89263,4.0957
2.28169,1.88042,4.0743
2.26891,1.86837,4.05302
2.25627,1.85647,4.03187
2.24377,1.84472,4.01083
2.2314,1.83312,3.98991
2.21918,1.82167,3.96911
2.20708,1.81037,3.94842
2.2,1.80376,3.93626
2.19512,1.79922,3.92785
2.18329,1.78821,3.9074
2.17158,1.77734,3.88705
2.16,1.76661,3.86682
2.14854,1.75602,3.8467
2.1372,1.74557,3.82669
2.12598,1.73526,3.80678
2.11488,1.72508,3.78698
2.1039,1.71503,3.76729
2.1,1.71148,3.76029
2.09302,1.70512,3.74771
2.08226,1.69534,3.72822
2.07161,1.68569,3.70885
2.06107,1.67617,3.68957
2.05063,1.66678,3.67039
2.0403,1.65751,3.65132
2.03008,1.64837,3.63235
2.01995,1.63935,3.61347
2.00993,1.63045,3.59469
2,1.62168,3.57601
2,1.62168,3.57601
1.99017,1.61302,3.55743
1.99,1.61287,3.5571
1.98044,1.60448,3.53894
1.98,1.6041,3.5381
1.9708,1.59607,3.52054
1.97,1.59537,3.519
1.96126,1.58777,3.50224
1.96,1.58667,3.49982
1.95181,1.57958,3.48403
1.95,1.57802,3.48054
1.94245,1.57151,3.46592
1.94,1.56941,3.46117
1.93317,1.56355,3.44789
1.93,1.56084,3.4417
1.92399,1.55571,3.42996
1.92,1.55231,3.42214
1.91489,1.54798,3.41212
1.91,1.54383,3.40249
1.90588,1.54036,3.39436
1.9,1.5354,3.38273
1.89696,1.53284,3.3767
1.89,1.52702,3.36288
1.88811,1.52544,3.35912
1.88,1.51868,3.34293
1.87935,1.51814,3.34163
1.87067,1.51095,3.32423
1.87,1.5104,3.32289
1.86207,1.50387,3.30692
1.86,1.50217,3.30274
1.85355,1.49689,3.28969
1.85,1.494,3.28249
1.8451,1.49001,3.27254
1.84,1.48588,3.26215
1.83673,1.48324,3.25548
1.83,1.47782,3.2417
1.82844,1.47657,3.2385
1.82022,1.47,3.22161
1.82,1.46982,3.22115
1.81208,1.46353,3.2048
1.81,1.46189,3.20049
1.80401,1.45716,3.18807
1.8,1.45401,3.17974
1.79601,1.45089,3.17142
1.79,1.44621,3.15887
1.78808,1.44471,3.15486
1.78022,1.43864,3.13837
1.78,1.43847,3.13791
1.77243,1.43266,3.12196
1.77,1.4308,3.11684
1.76471,1.42677,3.10564
1.76,1.4232,3.09566
1.75705,1.42098,3.08939
1.75,1.41568,3.07437
1.74946,1.41528,3.07322
1.74194,1.40967,3.05713
1.74,1.40824,3.05298
1.73448,1.40416,3.04112
1.73,1.40088,3.03148
1.72708,1.39874,3.02518
1.72,1.39359,3.00987
1.71975,1.39341,3.00932
1.71247,1.38817,2.99354
1.71,1.38639,2.98815
1.70526,1.38301,2.97783
1.7,1.37928,2.96633
1.69811,1.37795,2.96219
1.69102,1.37297,2.94664
1.69,1.37226,2.94439
1.68399,1.36808,2.93115
1.68,1.36533,2.92234
1.67702,1.36328,2.91574
1.6701,1.35856,2.90041
1.67,1.35849,2.90018
1.66324,1.35393,2.88514
1.66,1.35176,2.87791
1.65644,1.34938,2.86995
1.65,1.34512,2.85552
1.64969,1.34492,2.85484
1.643,1.34054,2.83979
1.64,1.33859,2.83302
1.63636,1.33624,2.82482
1.63,1.33216,2.81042
1.62978,1.33202,2.80991
1.62325,1.32788,2.79508
1.62,1.32585,2.78769
1.61677,1.32383,2.78032
1.61034,1.31985,2.76563
1.61,1.31964,2.76486
1.60396,1.31596,2.75101
1.6,1.31356,2.74191
1.59763,1.31214,2.73646
1.59136,1.3084,2.72198
1.59,1.3076,2.71885
1.58513,1.30474,2.70757
1.58,1.30176,2.69567
1.57895,1.30115,2.69322
1.57282,1.29764,2.67895
1.57,1.29605,2.67238
1.56673,1.29421,2.66474
1.56069,1.29085,2.6506
1.56,1.29047,2.64898
1.5547,1.28757,2.63653
1.55,1.28503,2.62546
1.54876,1.28436,2.62253
1.54286,1.28122,2.60859
1.54,1.27972,2.60183
1.537,1.27816,2.59472
1.53119,1.27517,2.58092
1.53,1.27457,2.57809
1.52542,1.27226,2.56718
1.52,1.26956,2.55423
1.5197,1.26941,2.55351
1.51402,1.26664,2.53991
1.51,1.2647,2.53026
1.50838,1.26393,2.52637
1.50278,1.2613,2.5129
1.5,1.26001,2.50618
1.49723,1.25873,2.49949
1.49171,1.25624,2.48615
1.49,1.25547,2.482
1.48624,1.25381,2.47287
1.4808,1.25145,2.45966
1.48,1.25111,2.4577
1.47541,1.24916,2.44651
1.47005,1.24694,2.43342
1.47,1.24692,2.43329
1.46474,1.24478,2.4204
1.46,1.2429,2.40878
1.45946,1.24269,2.40745
1.45422,1.24067,2.39456
1.45,1.23907,2.38416
1.44902,1.23871,2.38173
1.44385,1.23681,2.36896
1.44,1.23543,2.35943
1.43872,1.23498,2.35626
1.43363,1.23322,2.34363
1.43,1.23199,2.33461
1.42857,1.23151,2.33105
1.42355,1.22987,2.31854
1.41856,1.2283,2.30609
1.41361,1.22678,2.29371
1.4087,1.22533,2.28138
1.40381,1.22394,2.26912
1.39896,1.22261,2.25693
1.39415,1.22134,2.24479
1.38937,1.22013,2.23272
1.38462,1.21898,2.22071
1.3799,1.21788,2.20876
1.37521,1.21685,2.19687
1.37056,1.21588,2.18505
1.36594,1.21496,2.17329
1.36134,1.2141,2.16159
1.35678,1.2133,2.14995
1.35225,1.21255,2.13837
1.34775,1.21186,2.12686
1.34328,1.21123,2.1154
1.34,1.2108,2.10698
1.33884,1.21065,2.10401
1.33443,1.21013,2.09268
1.33005,1.20966,2.08142
1.33,1.20966,2.08129
1.3257,1.20925,2.07021
1.32137,1.20889,2.05907
1.32,1.20878,2.05553
1.31707,1.20858,2.04798
1.3128,1.20832,2.03696
1.31,1.20818,2.02972
1.30856,1.20812,2.026
1.30435,1.20797,2.0151
1.30016,1.20787,2.00427
1.3,1.20787,2.00385
1.296,1.20782,1.99349
1.29187,1.20783,1.98278
1.29,1.20784,1.97794
1.28776,1.20788,1.97213
1.28368,1.20798,1.96154
1.28,1.20812,1.95199
1.27962,1.20813,1.95101
1.27559,1.20833,1.94054
1.27159,1.20858,1.93013
1.27,1.20869,1.92601
1.26761,1.20888,1.91979
1.26365,1.20922,1.90951
1.26,1.20958,1.90001
1.25972,1.20961,1.89929
1.25581,1.21005,1.88913
1.25193,1.21054,1.87903
1.25,1.21079,1.87401
1.24807,1.21107,1.869
1.24424,1.21164,1.85902
1.24043,1.21226,1.84911
1.24,1.21233,1.84799
1.23664,1.21292,1.83926
1.23288,1.21363,1.82947
1.23,1.2142,1.82199
1.22914,1.21438,1.81974
1.22542,1.21518,1.81008
1.22172,1.21601,1.80048
1.22,1.21642,1.79601
1.21805,1.21689,1.79094
1.21439,1.21781,1.78146
1.21076,1.21877,1.77204
1.21,1.21898,1.77006
1.20715,1.21977,1.76269
1.20357,1.22081,1.75339
1.2,1.22189,1.74416
1.2,1.22189,1.74416
1.19645,1.22301,1.73499
1.19293,1.22416,1.72589
1.19,1.22516,1.71832
1.18943,1.22536,1.71684
1.18594,1.22659,1.70786
1.18248,1.22786,1.69894
1.18,1.22879,1.69255
1.17904,1.22916,1.69008
1.17562,1.2305,1.68128
1.17221,1.23188,1.67255
1.17,1.2328,1.66687
1.16883,1.23329,1.66388
1.16547,1.23473,1.65527
1.16212,1.23621,1.64672
1.16,1.23717,1.6413
1.1588,1.23772,1.63824
1.15549,1.23927,1.62981
1.1522,1.24084,1.62145
1.15,1.24192,1.61585
1.14894,1.24245,1.61315
1.14569,1.24409,1.60491
1.14245,1.24575,1.59674
1.14,1.24705,1.59054
1.13924,1.24745,1.58862
1.13604,1.24918,1.58057
1.13287,1.25093,1.57258
1.13,1.25255,1.56539
1.12971,1.25272,1.56465
1.12656,1.25453,1.55679
1.12344,1.25636,1.54898
1.12033,1.25823,1.54124
1.12,1.25843,1.54041
1.11724,1.26012,1.53356
1.11417,1.26203,1.52594
1.11111,1.26397,1.51838
1.11,1.26468,1.51563
1.10807,1.26593,1.51088
1.10505,1.26792,1.50344
1.10204,1.26993,1.49606
1.1,1.27131,1.49107
1.09905,1.27196,1.48875
1.09608,1.27402,1.48149
1.09312,1.27609,1.4743
1.09017,1.27819,1.46717
1.09,1.27831,1.46674
1.08725,1.2803,1.46009
1.08434,1.28244,1.45308
1.08144,1.28459,1.44613
1.08,1.28568,1.44267
1.07856,1.28676,1.43923
1.0757,1.28896,1.4324
1.07285,1.29116,1.42563
1.07001,1.29339,1.41891
1.07,1.2934,1.41888
1.06719,1.29563,1.41225
1.06439,1.29788,1.40566
1.0616,1.30015,1.39912
1.06,1.30147,1.39538
1.05882,1.30244,1.39264
1.05606,1.30474,1.38622
1.05332,1.30705,1.37986
1.05058,1.30937,1.37355
1.05,1.30987,1.37221
1.04787,1.31171,1.3673
1.04516,1.31406,1.36111
1.04247,1.31642,1.35498
1.04,1.31861,1.34937
1.03979,1.31879,1.3489
1.03713,1.32117,1.34288
1.03448,1.32356,1.33692
1.03185,1.32597,1.33101
1.03,1.32766,1.32688
1.02922,1.32837,1.32516
1.02662,1.33079,1.31936
1.02402,1.33322,1.31362
1.02144,1.33565,1.30793
1.02,1.33701,1.30478
1.01887,1.33809,1.3023
1.01631,1.34053,1.29672
1.01377,1.34298,1.2912
1.01124,1.34544,1.28573
1.01,1.34664,1.28307
1.00872,1.3479,1.28031
1.00621,1.35036,1.27495
1.00372,1.35283,1.26963
1.00124,1.3553,1.26437
1,1.35654,1.26176
0.998767,1.35778,1.25917
0.99631,1.36025,1.25401
0.993865,1.36273,1.24891
0.991432,1.36522,1.24385
0.99,1.36668,1.24089
0.989011,1.3677,1.23885
0.986602,1.37018,1.2339
0.984204,1.37267,1.229
0.981818,1.37515,1.22414
0.98,1.37705,1.22046
0.979444,1.37764,1.21934
0.977081,1.38012,1.21458
0.974729,1.3826,1.20987
0.972389,1.38508,1.20521
0.97006,1.38756,1.2006
0.97,1.38763,1.20048
0.967742,1.39004,1.19604
0.965435,1.39252,1.19152
0.963139,1.39499,1.18705
0.960854,1.39746,1.18262
0.96,1.39839,1.18098
0.95858,1.39993,1.17824
0.956316,1.40239,1.17391
0.954064,1.40485,1.16962
0.951821,1.4073,1.16538
0.95,1.4093,1.16195
0.94959,1.40975,1.16118
0.947368,1.4122,1.15702
0.945158,1.41464,1.1529
0.942957,1.41707,1.14883
0.940767,1.4195,1.14481
0.94,1.42035,1.1434
0.938586,1.42192,1.14082
0.936416,1.42434,1.13688
0.934256,1.42675,1.13297
0.932106,1.42915,1.12911
0.93,1.43151,1.12535
0.929966,1.43155,1.12529
0.927835,1.43394,1.12151
0.925714,1.43632,1.11777
0.923603,1.4387,1.11406
0.921502,1.44106,1.1104
0.92,1.44276,1.1078
0.91941,1.44342,1.10678
0.917327,1.44578,1.10319
0.915254,1.44812,1.09964
0.913191,1.45045,1.09613
0.911136,1.45278,1.09266
0.91,1.45406,1.09075
0.909091,1.45509,1.08922
0.907055,1.4574,1.08582
0.905028,1.4597,1.08246
0.90301,1.46199,1.07913
0.901001,1.46427,1.07584
0.9,1.4654,1.0742
0.899001,1.46654,1.07258
0.89701,1.4688,1.06935
0.895028,1.47105,1.06616
0.893054,1.47329,1.06301
0.891089,1.47552,1.05988
0.89,1.47675,1.05816
0.889133,1.47774,1.05679
0.887185,1.47995,1.05374
0.885246,1.48215,1.05071
0.883315,1.48434,1.04772
0.881393,1.48651,1.04476
0.88,1.48809,1.04262
0.879479,1.48868,1.04183
0.877573,1.49084,1.03893
0.875676,1.49298,1.03606
0.873786,1.49511,1.03322
0.871905,1.49724,1.03041
0.870032,1.49935,1.02763
0.87,1.49939,1.02758
0.868167,1.50145,1.02488
0.86631,1.50354,1.02216
0.864461,1.50562,1.01947
0.86262,1.50768,1.0168
0.860786,1.50974,1.01417
0.86,1.51062,1.01304
0.858961,1.51178,1.01156
0.857143,1.51381,1.00898
0.855333,1.51583,1.00642
0.85353,1.51784,1.00389
0.851735,1.51983,1.00139
0.85,1.52176,0.998989
0.849948,1.52182,0.998917
0.848168,1.52379,0.996467
0.846395,1.52575,0.994043
0.84463,1.5277,0.991643
0.842872,1.52964,0.989269
0.841121,1.53156,0.986919
0.84,1.5328,0.985421
0.839378,1.53348,0.984593
0.837642,1.53538,0.982291
0.835913,1.53727,0.980013
0.834192,1.53915,0.977758
