wavelengthmicrons,Reindex,Imindex
10,2.1268,0.0548547
9.9,2.15206,0.0535748
9.8,2.1766,0.0524341
9.75904,2.18646,0.0520047
9.7,2.20047,0.0514225
9.6,2.22368,0.0505306
9.52941,2.23969,0.0499686
9.5,2.24627,0.0497503
9.4,2.26827,0.0490743
9.31034,2.28751,0.0485515
9.3,2.2897,0.0484961
9.2,2.31059,0.0480097
9.10112,2.33072,0.047614
9.1,2.33095,0.0476099
9,2.35081,0.047292
8.9011,2.36997,0.0470539
8.9,2.37018,0.0470517
8.8,2.38909,0.0468851
8.70968,2.40578,0.0467952
8.7,2.40755,0.0467889
8.6,2.42558,0.0467599
8.52632,2.43859,0.0467799
8.5,2.44319,0.0467954
8.4,2.46039,0.0468929
8.35052,2.46876,0.0469634
8.3,2.47721,0.0470502
8.2,2.49365,0.0472654
8.18182,2.4966,0.0473106
8.1,2.50972,0.0475367
8.0198,2.52235,0.0477938
8,2.52543,0.0478626
7.9,2.54081,0.0482419
7.86408,2.54625,0.0483909
7.8,2.55585,0.0486733
7.71429,2.56848,0.049084
7.7,2.57056,0.0491561
7.6,2.58496,0.0496893
7.57009,2.58921,0.0498585
7.5,2.59905,0.0502724
7.43119,2.60858,0.0507024
7.4,2.61285,0.050905
7.3,2.62636,0.0515867
7.2973,2.62672,0.0516058
7.2,2.63958,0.0523175
7.16814,2.64374,0.0525605
7.1,2.65253,0.0530972
7.04348,2.65973,0.0535596
7,2.66522,0.0539261
6.92308,2.6748,0.0545973
6.9,2.67764,0.0548044
6.80672,2.689,0.0556687
6.8,2.68981,0.0557327
6.7,2.70174,0.0567114
6.69421,2.70242,0.0567696
6.6,2.71342,0.0577414
6.58537,2.71511,0.0578965
6.5,2.72487,0.0588235
6.48,2.72713,0.0590463
6.4,2.73609,0.0599589
6.37795,2.73853,0.0602165
6.3,2.74709,0.0611488
6.27907,2.74936,0.0614048
6.2,2.75787,0.0623945
6.18321,2.75966,0.0626093
6.1,2.76844,0.0636978
6.09023,2.76946,0.0638283
6,2.77881,0.0650604
6,2.77881,0.0650604
5.91241,2.78772,0.0663042
5.9,2.78897,0.0664843
5.82734,2.79623,0.0675588
5.8,2.79894,0.067972
5.74468,2.80438,0.0688232
5.7,2.80872,0.0695258
5.66434,2.81217,0.0700965
5.6,2.81832,0.0711486
5.58621,2.81963,0.0713781
5.5102,2.82679,0.0726672
5.5,2.82774,0.0728436
5.43624,2.83366,0.0739634
5.4,2.83699,0.074614
5.36424,2.84026,0.0752662
5.3,2.84607,0.0764638
5.29412,2.8466,0.0765751
5.22581,2.85271,0.0778899
5.2,2.85499,0.078397
5.15924,2.85859,0.0792101
5.1,2.86376,0.0804184
5.09434,2.86425,0.0805356
5.03106,2.86972,0.081866
5,2.87238,0.0825331
4.96933,2.87499,0.0832013
4.90909,2.88009,0.0845412
4.9,2.88086,0.0847467
4.8503,2.88502,0.0858856
4.8,2.8892,0.0870655
4.7929,2.88979,0.0872343
4.73684,2.8944,0.0885873
4.7,2.89742,0.0894965
4.68208,2.89887,0.0899445
4.62857,2.90321,0.0913059
4.6,2.90551,0.0920475
4.57627,2.90742,0.0926714
4.52514,2.9115,0.0940409
4.5,2.9135,0.0947271
4.47514,2.91547,0.0954144
4.42623,2.91932,0.096792
4.4,2.92138,0.0975451
4.37838,2.92307,0.0981736
4.33155,2.92672,0.0995592
4.3,2.92917,0.100512
4.28571,2.93028,0.100949
4.24084,2.93374,0.102343
4.2,2.93688,0.103641
4.19689,2.93712,0.103741
4.15385,2.94041,0.105143
4.11168,2.94363,0.106549
4.1,2.94452,0.106944
4.07035,2.94677,0.10796
4.02985,2.94984,0.109375
4,2.9521,0.110439
3.99015,2.95284,0.110794
3.95122,2.95578,0.112217
3.91304,2.95866,0.113646
3.9,2.95964,0.114141
3.8756,2.96147,0.115079
3.83886,2.96424,0.116516
3.80282,2.96694,0.117958
3.8,2.96715,0.118072
3.76744,2.9696,0.119405
3.73272,2.9722,0.120857
3.7,2.97466,0.122255
3.69863,2.97476,0.122314
3.66516,2.97728,0.123776
3.63229,2.97975,0.125244
3.6,2.98218,0.126716
3.6,2.98218,0.126716
3.56828,2.98457,0.128194
3.53712,2.98692,0.129678
3.50649,2.98924,0.131167
3.5,2.98973,0.131487
3.47639,2.99152,0.132662
3.44681,2.99377,0.134162
3.41772,2.99599,0.135669
3.4,2.99735,0.136602
3.38912,2.99818,0.137181
3.361,3.00034,0.1387
3.33333,3.00248,0.140225
3.30612,3.00459,0.141756
3.3,3.00506,0.142105
3.27935,3.00667,0.143294
3.25301,3.00873,0.144839
3.22709,3.01076,0.14639
3.20158,3.01278,0.147948
3.2,3.0129,0.148046
3.17647,3.01477,0.149513
3.15175,3.01675,0.151086
3.12741,3.0187,0.152665
3.10345,3.02064,0.154252
3.1,3.02092,0.154483
3.07985,3.02256,0.155847
3.0566,3.02447,0.157449
3.03371,3.02636,0.159059
3.01115,3.02823,0.160677
3,3.02916,0.161489
2.98893,3.03009,0.162303
2.96703,3.03194,0.163937
2.94545,3.03377,0.16558
2.92419,3.03559,0.167231
2.90323,3.0374,0.168891
2.9,3.03768,0.16915
2.88256,3.0392,0.17056
2.86219,3.04099,0.172238
2.84211,3.04277,0.173925
2.8223,3.04454,0.175622
2.80277,3.04631,0.177328
2.8,3.04656,0.177572
2.78351,3.04806,0.179043
2.76451,3.04981,0.180768
2.74576,3.05155,0.182504
2.72727,3.05328,0.184249
2.70903,3.05501,0.186005
2.7,3.05587,0.186887
2.69103,3.05673,0.187772
2.67327,3.05844,0.189549
2.65574,3.06015,0.191337
2.63844,3.06186,0.193136
2.62136,3.06356,0.194947
2.6045,3.06526,0.196768
2.6,3.06571,0.197261
2.58786,3.06695,0.198602
2.57143,3.06864,0.200447
2.55521,3.07033,0.202305
2.53918,3.07201,0.204174
2.52336,3.07369,0.206056
2.50774,3.07537,0.207951
2.5,3.07621,0.208903
2.49231,3.07705,0.209859
2.47706,3.07873,0.211779
2.46201,3.0804,0.213713
2.44713,3.08208,0.215661
2.43243,3.08375,0.217622
2.41791,3.08542,0.219597
2.40356,3.0871,0.221587
2.4,3.08751,0.222086
2.38938,3.08877,0.223591
2.37537,3.09044,0.225609
2.36152,3.09211,0.227643
2.34783,3.09378,0.229691
2.33429,3.09546,0.231755
2.32092,3.09713,0.233835
2.30769,3.09881,0.23593
2.3,3.09979,0.237167
2.29462,3.10048,0.238042
2.28169,3.10216,0.24017
2.26891,3.10384,0.242314
2.25627,3.10552,0.244476
2.24377,3.1072,0.246655
2.2314,3.10888,0.248851
2.21918,3.11056,0.251065
2.20708,3.11225,0.253297
2.2,3.11325,0.254624
2.19512,3.11394,0.255547
2.18329,3.11563,0.257816
2.17158,3.11732,0.260104
2.16,3.11901,0.262411
2.14854,3.12071,0.264737
2.1372,3.12241,0.267083
2.12598,3.12411,0.26945
2.11488,3.12581,0.271836
2.1039,3.12752,0.274244
2.1,3.12813,0.275109
2.09302,3.12923,0.276672
2.08226,3.13094,0.279122
2.07161,3.13265,0.281594
2.06107,3.13436,0.284087
2.05063,3.13608,0.286603
2.0403,3.1378,0.289142
2.03008,3.13952,0.291704
2.01995,3.14125,0.294289
2.00993,3.14297,0.296897
2,3.1447,0.29953
